Name,Governance Type,Governing Body,Governing Body Members,Role,Annual Compensation,Elected or Appointed,Years in Office
Tract 349 Mutual Water Company,Mutual Water Company,Board of Directors/ Officers,Daniel Venegas,Vice President,"$7,800",No Data,No Data
Tract 349 Mutual Water Company,Mutual Water Company,Board of Directors/ Officers,Doris Fregeau,Director,"$7,800",No Data,No Data
VALENCIA HEIGHTS WATER COMPANY,Mutual Water Company,Board of Directors,Ronald Wheeler,Chairman,"$2,600.00",No Data,No Data
VALENCIA HEIGHTS WATER COMPANY,Mutual Water Company,Board of Directors,Sylvia Beltran,Vice-Chairman,$600.00,No Data,No Data
VALENCIA HEIGHTS WATER COMPANY,Mutual Water Company,Board of Directors,Curtis Feese,Treasurer,"$11,000.00",No Data,No Data
VALENCIA HEIGHTS WATER COMPANY,Mutual Water Company,Board of Directors,Wayne Partee,Secretary,"$2,200.00",No Data,No Data
VALENCIA HEIGHTS WATER COMPANY,Mutual Water Company,Board of Directors,Eugene Jacobs,Director,"$2,400.00",No Data,No Data
VALENCIA HEIGHTS WATER COMPANY,Mutual Water Company,Board of Directors,Robert Ghirelli,Director,"$3,250.00",No Data,No Data
VALENCIA HEIGHTS WATER COMPANY,Mutual Water Company,Board of Directors,Daniel Liese,Director,"$2,400.00",No Data,No Data
VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Margarita Vargas,President,"$20,718",No Data,No Data
VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Lenet Pecheco,Vice President,"$20,718",No Data,No Data
VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Jazmin Lopez,Board Director,"$20,718",No Data,No Data
VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,David Muse,Board Director,"$20,718",No Data,No Data
VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Javier Vargas,Board Director,"$20,718",No Data,No Data
VALLEY VIEW MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Whileta Brunelle,Secretary/ Treasurer,"$1,050.00",No Data,No Data
VALLEY VIEW MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Christel Campa,Director,"$1,100.00",No Data,No Data
VALLEY VIEW MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Jan Barendregt,President,"$1,150.00",No Data,No Data
VALLEY VIEW MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Jesus Garcia,Director,$975.00,No Data,No Data
VALLEY VIEW MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Luz Serrano,Director,"$1,050.00",No Data,No Data
VALLEY WATER COMPANY,Mutual Water Company,Board of Directors,James Edwards,President,"$1,620.00",No Data,No Data
VALLEY WATER COMPANY,Mutual Water Company,Board of Directors,Robert Neilson,Vice President,"$2,100.00",No Data,No Data
VALLEY WATER COMPANY,Mutual Water Company,Board of Directors,Clyde Hemphill,Director,"$1,500.00",No Data,No Data
VALLEY WATER COMPANY,Mutual Water Company,Board of Directors,Stephen Del Guercio,Director,"$1,200.00",No Data,No Data
VALLEY WATER COMPANY,Mutual Water Company,Board of Directors,Donald Voss,Treasurer,"$1,500.00",No Data,No Data
"Vernon, City of",City/ Municipal,City Council,Carol Menke,Council Member,No Data,Elected,1
"Vernon, City of",City/ Municipal,City Council,Diana Gonzales,Council Member,No Data,Elected,1
"Vernon, City of",City/ Municipal,City Council,Leticia Lopez,Mayor,No Data,Elected,4
"Vernon, City of",City/ Municipal,City Council,Melissa Ybarra,Mayor Pro Tem,No Data,Elected,5
"Vernon, City of",City/ Municipal,City Council,"William ""Bill"" Davis",Council Member,No Data,Elected,39
Walnut Park Mutual Water Company,Mutual Water Company,Board of Directors,Mike Gomez,President,"$10,200",No Data,No Data
Walnut Park Mutual Water Company,Mutual Water Company,Board of Directors,Joe Luppino,Vice President,"$10,200",No Data,No Data
Walnut Park Mutual Water Company,Mutual Water Company,Board of Directors,Wally Shidler,Secretary,$0,No Data,No Data
Walnut Park Mutual Water Company,Mutual Water Company,Board of Directors,Salvador Garcia,Treasurer,"$10,200",No Data,No Data
Walnut Park Mutual Water Company,Mutual Water Company,Board of Directors,Daniel Calderon,Director,"$10,200",No Data,No Data
WALNUT VALLEY WATER DISTRICT,Special District,Board of Directors,Alfred Sinclare,Director,"$8,826",No Data,0
WALNUT VALLEY WATER DISTRICT,Special District,Board of Directors,Jerry Tang,Second Vice President,"$8,826",No Data,1
WALNUT VALLEY WATER DISTRICT,Special District,Board of Directors,Theresa Lee,President,"$8,826",No Data,4
WALNUT VALLEY WATER DISTRICT,Special District,Board of Directors,Scarlett Kwong,First Vice President,"$8,826",No Data,13
WALNUT VALLEY WATER DISTRICT,Special District,Board of Directors,Edwin Hilden,Assistant Treasurer,"$8,826",No Data,18
WATER REPLENISHMENT DISTRICT,Special District,Board of Directors,John D. S. Allen,Director,"$20,960",Elected,6
WATER REPLENISHMENT DISTRICT,Special District,Board of Directors,Vera Robles De Witt,Director,"$20,960",Appointed,12
WATER REPLENISHMENT DISTRICT,Special District,Board of Directors,Sergio Calderon,Director,"$20,960",Elected,14
WATER REPLENISHMENT DISTRICT,Special District,Board of Directors,Rob Katherman,Director,"$20,960",Elected,16
WATER REPLENISHMENT DISTRICT,Special District,Board of Directors,"Willard  Murray, Jr.",Director,"$20,960",Elected,22
WEST VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Channing Hawkins,President,"$16,424",Elected,1
WEST VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Kyle Crowther,Vice President,"$16,424",Elected,3
WEST VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Dr. Michael Taylor,Director,"$16,424",Elected,3
WEST VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Greg Young,Director,"$16,424",Elected,5
WEST VALLEY COUNTY WATER DISTRICT,Special District,Board of Directors,Dr. Clifford O. Young,Director,"$16,424",Elected,7
WESTSIDE PARK MUTUAL WATER,Mutual Water Company,Officers,Andy Torres,President,$0.00,No Data,No Data
WESTSIDE PARK MUTUAL WATER,Mutual Water Company,Officers,Charles Miller,Vice President,$0.00,No Data,No Data
WESTSIDE PARK MUTUAL WATER,Mutual Water Company,Officers,Clifford Kos,Treasurer,$0.00,No Data,No Data
WESTSIDE PARK MUTUAL WATER,Mutual Water Company,Officers,Susan Miller,Director,$0.00,No Data,No Data
WESTSIDE PARK MUTUAL WATER,Mutual Water Company,Officers,Mary Wood,Secretary,"$22,369.00",No Data,No Data
WESTSIDE PARK MUTUAL WATER,Mutual Water Company,Officers,Susan Munger,Director,$0.00,No Data,No Data
WHITE FENCE FARMS MUTUAL WATER CO,Mutual Water Company,Board of Directors,Barbara Tiffany,President,"$1,850.00",No Data,No Data
WHITE FENCE FARMS MUTUAL WATER CO,Mutual Water Company,Board of Directors,Cindy Brandel,Director,"$1,200.00",No Data,No Data
WHITE FENCE FARMS MUTUAL WATER CO,Mutual Water Company,Board of Directors,Robert Meyer,Vice President/ Secretary,"$1,200.00",No Data,No Data
WHITE FENCE FARMS MUTUAL WATER CO,Mutual Water Company,Board of Directors,David Doremus,Treasurer,"$1,200.00",No Data,No Data
WHITE FENCE FARMS MUTUAL WC NO.3,Mutual Water Company,Board of Directors,Jack Seefus,Member,$0.00,No Data,No Data
WHITE FENCE FARMS MUTUAL WC NO.3,Mutual Water Company,Board of Directors,Dean Jones,Secretary/ Treasurer,$0.00,No Data,No Data
WHITE FENCE FARMS MUTUAL WC NO.3,Mutual Water Company,Board of Directors,Jim Gardner,Member,$0.00,No Data,No Data
WHITE FENCE FARMS MUTUAL WC NO.3,Mutual Water Company,Board of Directors,Robert Lenton,President,$0.00,No Data,No Data
WHITE FENCE FARMS MUTUAL WC NO.3,Mutual Water Company,Board of Directors,John Lovett,Vice President,$0.00,No Data,No Data
"WHITTIER-CITY, WATER DEPT.",City/ Municipal,City Council,Jessica Martinez,Council Member,"$3,402",Elected,0
"WHITTIER-CITY, WATER DEPT.",City/ Municipal,City Council,Henry Bouchot,"Mayor Pro Tem
","$3,402",Elected,2
"WHITTIER-CITY, WATER DEPT.",City/ Municipal,City Council,Fernando Dutra,Council Member,"$3,402",Elected,8
"WHITTIER-CITY, WATER DEPT.",City/ Municipal,City Council,Joe Vinatieri,Mayor,"$3,402",Elected,14
"WHITTIER-CITY, WATER DEPT.",City/ Municipal,City Council,Cathy Warner,Council Member,"$3,402",Elected,16
